,Total Population,State,PUMA,Male Polulation,Female Population,Grandparents Living With Grandchildren,Grandparents Responsible for Grandchildren,Childcare Employees Total
0,tabulate,state,public use microdata area,tabulate,tabulate,tabulate,tabulate,tabulate
561,205610,13,01700,101714,103896,830,312,1763
562,162992,13,01800,81698,81294,902,510,755
563,154304,13,01900,75777,78527,868,321,902
564,0,13,02000,0,0,0,0,0
565,145797,13,02100,70849,74948,1180,841,1299
566,102998,13,02200,49435,53563,631,409,1025
567,118723,13,02300,57949,60774,367,381,1123
568,113646,13,02400,55085,58561,494,262,561
569,169369,13,02500,82253,87116,964,417,962
570,177844,13,02600,87689,90155,1210,622,1201
571,104096,13,02700,51743,52353,565,268,540
572,186400,13,02800,91721,94679,907,853,988
573,106527,13,02900,52872,53655,783,619,507
574,0,13,03000,0,0,0,0,0
575,0,13,03100,0,0,0,0,0
576,141032,13,03200,68948,72084,641,419,1123
577,236502,13,03300,117342,119160,950,409,1928
578,201563,13,03400,100257,101306,1306,925,880
579,139020,13,03500,67397,71623,921,324,660
580,127166,13,03600,60621,66545,543,102,858
581,120850,13,03700,59465,61385,788,435,756
582,151757,13,03800,74682,77075,993,566,1029
583,126213,13,03900,61421,64792,745,339,816
584,202155,13,04000,97767,104388,1124,626,1504
585,154256,13,04100,75457,78799,529,668,1267
586,124375,13,04200,60697,63678,651,424,923
587,199858,13,04300,94266,105592,1206,1158,1327
588,239266,15,00100,119063,120203,3157,1603,1165
589,201258,15,00200,99810,101448,935,619,875
590,103400,15,00301,53417,49983,878,357,525
591,113548,15,00302,57615,55933,1071,303,861
592,104977,15,00303,51687,53290,769,295,312
593,124790,15,00304,61944,62846,556,259,509
594,113957,15,00305,57844,56113,1498,703,596
595,150008,15,00306,77131,72877,1512,991,956
596,140619,15,00307,70655,69964,2180,1198,789
597,124749,16,00100,62953,61796,546,208,426
598,155713,16,00200,77124,78589,292,276,840
599,108285,16,00300,55085,53200,679,297,828
600,126040,16,00400,62270,63770,626,305,730
